GRANDTOTAL_NEW,gtotal_lag_15,gtotal_lag_10,gtotal_lag_5,gtotal_lag_3,gtotal_lag_2,gtotal_roll_mean_15,gtotal_roll_mean_10,gtotal_roll_mean_5,gtotal_roll_mean_3,gtotal_roll_mean_2,sales_ewm_alpha_075_lag_15,sales_ewm_alpha_075_lag_10,sales_ewm_alpha_075_lag_5,sales_ewm_alpha_075_lag_3,sales_ewm_alpha_075_lag_2,sales_ewm_alpha_065_lag_15,sales_ewm_alpha_065_lag_10,sales_ewm_alpha_065_lag_5,sales_ewm_alpha_065_lag_3,sales_ewm_alpha_065_lag_2,sales_ewm_alpha_055_lag_15,sales_ewm_alpha_055_lag_10,sales_ewm_alpha_055_lag_5,sales_ewm_alpha_055_lag_3,sales_ewm_alpha_055_lag_2,sales_ewm_alpha_045_lag_15,sales_ewm_alpha_045_lag_10,sales_ewm_alpha_045_lag_5,sales_ewm_alpha_045_lag_3,sales_ewm_alpha_045_lag_2,sales_ewm_alpha_035_lag_15,sales_ewm_alpha_035_lag_10,sales_ewm_alpha_035_lag_5,sales_ewm_alpha_035_lag_3,sales_ewm_alpha_035_lag_2,COUNTRY_BE,COUNTRY_CN,COUNTRY_CZ,COUNTRY_D,COUNTRY_TH,COUNTRY_UK,COUNTRY_USA,year_2018,year_2019,year_2020,year_2021,year_2022,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
6.505066313820724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.843209784974127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10.192510600478247,,,,,666.8084907896035,755.4695799163173,734.7574063217385,758.186696095484,756.0905608038795,801.9505271901941,,,,,667.52,,,,,667.52,,,,,667.52,,,,,667.52,,,,,667.52,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.215787243142303,,,,668.0115928361757,935.286396964014,5098.080633509956,3647.6759072021036,5096.210402193995,7311.434904510239,13817.719158320144,,,,667.52,882.698770365404,,,,667.52,866.7596021901888,,,,667.52,853.0189399701759,,,,667.52,841.051266423713,,,,667.52,830.5342199737909,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.910032683726177,,,,937.9273949410382,26700.629664346652,13315.859095353539,10236.299822294372,16481.418261372124,32158.02254084584,50497.04406325246,,,,882.698770365404,20554.128278658427,,,,866.7596021901888,18411.540857069518,,,,853.0189399701759,16495.03471003361,,,,841.051266423713,14800.780677261115,,,,830.5342199737909,13313.48513916617,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.408190521378582,,,664.9737026770584,26704.53031123997,74291.59823761955,15783.484456187502,14797.535213380947,25802.690547068953,44071.955802583456,37645.89480777598,,,667.52,20554.128278658427,61016.436553213985,,,667.52,18411.540857069518,55287.95138168093,,,667.52,16495.03471003361,49643.27286087965,,,667.52,14800.780677261115,44268.85115143183,,,667.52,13313.48513916617,39294.055546211544,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9.634398225441661,,,938.02144203576,74291.772815818,1001.4912926321314,16787.830480967103,17293.586842414577,32380.99929592022,22121.19705205196,6591.12193136727,,,882.698770365404,61016.436553213985,15961.069756666242,,,866.7596021901888,55287.95138168093,19815.305998917036,,,853.0189399701759,49643.27286087965,22387.226066406194,,,841.051266423713,44268.85115143183,23766.597754595678,,,830.5342199737909,39294.055546211544,24132.390300656978,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.257438942044846,,,26701.928323412478,998.24194342832,12187.636906887743,17269.07191204182,20250.93647832606,24218.339703481244,10162.28704936271,13732.41024412777,,,20554.128278658427,15961.069756666242,13129.674269981442,,,18411.540857069518,19815.305998917036,14847.643560739063,,,16495.03471003361,22387.226066406194,16730.014167131238,,,14800.780677261115,23766.597754595678,18407.33992882286,,,13313.48513916617,24132.390300656978,19610.388440124876,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.29507685047704,,,74292.39577090145,12185.243059408434,15277.874012651197,19223.185965571116,24129.35748717152,24540.62299459657,30050.087420629025,46365.22578209351,,,61016.436553213985,13129.674269981442,14742.892030493438,,,55287.95138168093,14847.643560739063,15129.181385715698,,,49643.27286087965,16730.014167131238,15929.791186373075,,,44268.85115143183,18407.33992882286,16978.508934353096,,,39294.055546211544,19610.388440124876,18016.806466090064,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.316437158979657,,,1001.776502565119,15278.589856535908,77453.44103792572,22784.267979855336,27463.12917574641,34060.51483674919,62652.32923928736,78936.60276115022,,,15961.069756666242,14742.892030493438,61776.15880465703,,,19815.305998917036,15129.181385715698,55648.760365433554,,,22387.226066406194,15929.791186373075,49824.527083267225,,,23766.597754595678,16978.508934353096,44421.80430873568,,,24132.390300656978,18016.806466090064,39504.142133921916,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
